[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\017.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\017.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\018.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\018.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\019.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\019.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\020.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\020.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\021.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\021.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\022.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\022.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\023.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\023.jpg
[2025-09-19 06:51:20] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\024.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\024.jpg
[2025-09-19 06:51:21] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\025.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\025.jpg
[2025-09-19 06:51:21] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\026.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\026.jpg
[2025-09-19 06:51:21] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\027.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\027.jpg
[2025-09-19 06:51:21] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_002\028.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_002\028.jpg
